,cg24049621,cg26172016,cg17675150,cg21867891,cg05800761,cg23309969,cg25401010,cg06487082,cg12406559,cg12737497,cg17289202,cg04212150,cg03096126,cg14269096,cg24243629,cg21710408,cg05603258,ch.18.1114073F,cg14517073,cohort,ZNF532,ARGscore
TCGA-DY-A1DC-01,0.8344,0.771,0.936,0.9096,0.8813,0.8679,0.9037,0.0778,0.0811,0.0437,0.0126,0.3406,0.4034,0.6393,0.6279,0.715,0.9134,0.0784,0.7845,READ,8.113,2.06874254
TCGA-EI-6885-01,0.8847,0.5349,0.9276,0.9118,0.8961,0.9041,0.9335,0.1213,0.082,0.0706,0.0112,0.4909,0.616,0.7386,0.6467,0.7022,0.8993,0.0635,0.8287,READ,9.689,2.3412260299999996
TCGA-AF-A56L-01,0.8418,0.5354,0.864,0.8862,0.8632,0.8492,0.8722,0.0646,0.0592,0.057,0.0112,0.2369,0.246,0.6752,0.3344,0.591,0.8836,0.0644,0.7937,READ,8.741,2.3146083799999997
TCGA-AF-A56K-01,0.7659,0.5586,0.9131,0.9269,0.9076,0.8859,0.9182,0.1556,0.1401,0.0647,0.0128,0.3931,0.5123,0.7132,0.3916,0.5665,0.8309,0.0761,0.8115,READ,9.488,2.706822429999999
TCGA-DC-6683-01,0.9094,0.3853,0.835,0.9262,0.855,0.8589,0.925,0.0795,0.0805,0.068,0.0094,0.2512,0.1938,0.4626,0.2766,0.6967,0.8939,0.0539,0.8965,READ,8.955,2.7431477
TCGA-AH-6897-01,0.9003,0.7348,0.9522,0.9483,0.9237,0.9336,0.953,0.5022,0.5503,0.1742,0.0103,0.5007,0.5984,0.7116,0.22,0.5691,0.9476,0.0852,0.7567,READ,7.015,2.00964873
TCGA-AF-2687-01,0.8185,0.3863,0.5767,0.5957,0.7397,0.6085,0.6684,0.0648,0.075,0.0642,0.0088,0.0973,0.0414,0.2494,0.3033,0.5075,0.8763,0.0567,0.8137,READ,10.33,3.123731819999999
TCGA-EI-6882-01,0.9076,0.3624,0.9571,0.9508,0.9346,0.937,0.9394,0.2897,0.1539,0.142,0.0093,0.4355,0.3134,0.8322,0.6108,0.8302,0.9201,0.0733,0.904,READ,8.215,2.44594114
TCGA-AH-6643-01,0.8332,0.2709,0.8901,0.8526,0.8703,0.8297,0.8545,0.0774,0.0628,0.0478,0.0093,0.0879,0.0329,0.2445,0.2637,0.768,0.9425,0.0541,0.8566,READ,10.12,3.1123409399999993
TCGA-AF-6672-01,0.859,0.7563,0.9447,0.93,0.8978,0.9217,0.931,0.3819,0.2852,0.2065,0.0103,0.4238,0.5496,0.7161,0.6939,0.7296,0.9412,0.0673,0.7711,READ,7.76,2.21083449
TCGA-DY-A1DF-01,0.8217,0.335,0.9374,0.9314,0.9107,0.9126,0.9107,0.431,0.1659,0.064,0.0116,0.3149,0.1824,0.2674,0.4642,0.7695,0.8659,0.0748,0.7857,READ,8.157,3.15243608
TCGA-DC-6155-01,0.8938,0.3647,0.9297,0.9193,0.9056,0.9028,0.9362,0.0942,0.0916,0.098,0.0109,0.2887,0.2489,0.3672,0.2589,0.6644,0.8893,0.056,0.9201,READ,6.477,1.8031759699999992
TCGA-CL-4957-01,0.7331,0.572,0.9249,0.8901,0.8861,0.858,0.8684,0.2985,0.3137,0.2097,0.008,0.4146,0.5384,0.7079,0.3707,0.6748,0.9249,0.0875,0.7175,READ,7.821,2.7678705999999997
TCGA-G5-6641-01,0.929,0.5707,0.812,0.7888,0.8637,0.7971,0.7868,0.1501,0.1758,0.1407,0.0096,0.2346,0.2563,0.5871,0.4919,0.6263,0.9288,0.0489,0.8864,READ,8.065,2.44791245
TCGA-AG-3742-01,0.915,0.7817,0.9641,0.9407,0.9398,0.9381,0.9449,0.104,0.0637,0.0503,0.0117,0.5677,0.2859,0.473,0.2929,0.7159,0.9318,0.0533,0.9267,READ,8.697,2.877887699999999
TCGA-AG-4021-01,0.8247,0.3319,0.9261,0.8479,0.8608,0.8353,0.8826,0.0571,0.0403,0.03,0.0097,0.0529,0.0342,0.1599,0.1547,0.7003,0.9084,0.0682,0.8408,READ,9.785,3.816012769999999
TCGA-F5-6813-01,0.8921,0.6838,0.9576,0.9068,0.9095,0.93,0.9338,0.1453,0.1901,0.0946,0.0096,0.4697,0.5008,0.6443,0.4494,0.7211,0.8899,0.0631,0.8996,READ,8.748,2.3066804800000007
TCGA-F5-6571-01,0.8954,0.6528,0.9449,0.9196,0.9195,0.9192,0.9488,0.1106,0.0726,0.0969,0.0118,0.4169,0.4119,0.646,0.3189,0.4458,0.9211,0.0644,0.9359,READ,9.277,3.0576054800000003
TCGA-DC-6682-01,0.9112,0.668,0.9419,0.9342,0.9105,0.9162,0.9221,0.1068,0.108,0.0663,0.0091,0.3105,0.2853,0.6575,0.49,0.6589,0.9133,0.0692,0.9213,READ,8.396,2.0949335799999993
TCGA-EI-6509-01,0.8483,0.3341,0.2952,0.3169,0.4731,0.2995,0.3923,0.0303,0.0306,0.0425,0.008,0.0459,0.0189,0.157,0.1522,0.6231,0.919,0.0525,0.8474,READ,10.13,3.9298289399999993
TCGA-CI-6622-01,0.8896,0.6845,0.8987,0.9239,0.903,0.88,0.9338,0.3394,0.3839,0.341,0.0105,0.4036,0.4839,0.5528,0.3897,0.7821,0.9267,0.0611,0.9336,READ,8.397,2.5882427000000003
TCGA-G5-6572-01,0.88,0.8712,0.9464,0.9298,0.9148,0.9222,0.9271,0.1666,0.1289,0.0652,0.0095,0.5089,0.645,0.7318,0.5883,0.6217,0.9219,0.0877,0.915,READ,8.923,3.699176909999999
TCGA-CI-6621-01,0.9031,0.6642,0.9294,0.8951,0.9273,0.9214,0.9296,0.2323,0.2551,0.1869,0.011,0.3612,0.4638,0.787,0.4916,0.7126,0.8847,0.0672,0.9025,READ,9.058,2.54297259
TCGA-F5-6811-01,0.9065,0.7085,0.9528,0.9356,0.9164,0.9265,0.9305,0.0677,0.0925,0.09,0.0109,0.4044,0.6131,0.5395,0.5166,0.6886,0.9102,0.0631,0.9267,READ,9.735,2.88213941
TCGA-G5-6235-01,0.8653,0.7701,0.9544,0.935,0.8787,0.9035,0.8998,0.5322,0.6064,0.4541,0.0073,0.511,0.7498,0.8234,0.5969,0.6889,0.9212,0.0559,0.8787,READ,7.292,1.32609228
TCGA-DC-6154-01,0.8421,0.382,0.7433,0.7851,0.7875,0.8071,0.8403,0.0917,0.1091,0.0496,0.0135,0.1022,0.0583,0.4577,0.2072,0.4543,0.9363,0.1623,0.8374,READ,9.168,3.4361197299999997
TCGA-AH-6547-01,0.9338,0.6407,0.948,0.9128,0.9522,0.9225,0.9444,0.426,0.458,0.3511,0.0089,0.4398,0.53,0.8395,0.6435,0.6925,0.8986,0.0495,0.9251,READ,9.146,2.7448878799999994
TCGA-DY-A1DD-01,0.8017,0.643,0.9156,0.882,0.8849,0.8658,0.8925,0.1362,0.0738,0.0465,0.0096,0.4446,0.5055,0.416,0.1665,0.7599,0.9333,0.1089,0.8732,READ,8.095,2.7126404399999995
TCGA-EI-7002-01,0.8862,0.5479,0.9583,0.9366,0.9455,0.9032,0.9188,0.1033,0.0796,0.0708,0.013,0.5422,0.561,0.7825,0.3482,0.8043,0.935,0.0706,0.9016,READ,8.983,3.08091066
TCGA-EI-6884-01,0.9044,0.7549,0.961,0.9291,0.9178,0.923,0.9433,0.4587,0.507,0.3947,0.0091,0.4369,0.6308,0.807,0.7564,0.715,0.9305,0.0959,0.9178,READ,8.832,2.8836438099999997
TCGA-DC-4749-01,0.8637,0.5819,0.9112,0.9097,0.9083,0.8978,0.9279,0.0628,0.0608,0.046,0.0078,0.3651,0.5141,0.6814,0.3449,0.7363,0.9319,0.0688,0.8829,READ,7.499,1.5725852699999994
